35,35,국가의 복지 증진과 국민의 건강유지 향상을 위하여 필요한 전문 지식을 탐구하며 건전하고 유능한 보건행정의 전문 인재 양성을 목적으로 하는 학과이다.,건강에 대하여 관심이 많은 학생;남을 돕고 싶은 따뜻한 마음이 있는 학생;국제 사회에서 일을 하고 싶은 학생;다양한 인문학적 소양을 가진 학생;세상을 건강하고 아름답게 바꾸고 싶은 욕구를 가진 학생,확률과 통계;생활과 윤리;경제;정치와 법;사회·문화;생명과학Ⅰ;보건,생활과 과학;사회문제 탐구
105,105,수학교육은 논리적 사고로 추상적인 개념을 이해하고 적용하는 수학을 학문적으로 탐색하여 심층적인 지식과 수학교육에 대한 역량을 더해 수학을 도구로 하여 인격과 전문성을 겸비한 교육인력 양성을 목적으로 하는 학과이다.,"논리적인 사고, 수리력, 꼼꼼한 관찰력 등이 필요;수학교육 및 수학 관련 분야 사업을 하고 싶은 학생;창의적 수학 문제 해결력과 의사소통 능력을 가진 학생;수학 관련 응용 분야(컴퓨터, 통계학, 경제학 등)를 공부하고 싶은 학생;수학 문제 풀이와 설명에 흥미가 많고 적극적인 학생",수학Ⅰ;수학Ⅱ;확률과 통계;미적분;경제;교육학;심리학,기하;수학과제 탐구;인공지능 수학;경제 수학
52,52,"최근의 자율 주행차, 드론, 전기차 등 각종 이동 수단에 대한 핵심 지식을 바탕으로 미래 무인자동차 산업을 선도하는 인력 양성을 위한 학과이다.","논리적인 사고, 수리력, 꼼꼼한 관찰력을 바탕으로 기계 관련 분야에 흥미가 있는 학생;심각한 교통 문제 또는 환경 오염 문제에 관심을 가지고 해결하고자 노력해 본 경험이 있는 학생;원격으로 조종되는 각종 기계에 호기심을 가지고 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;한국지리;물리학Ⅰ;화학Ⅰ;정보,기하;수학과제 탐구;인공지능 수학;물리학Ⅱ;화학Ⅱ;생활과 과학;인공지능 기초
38,38,"우리 주위에서 일어나는 모든 자연 현상들의 법칙을 연구하는 학문으로, 광범위한 자연과학에 대한 지식을 습득 하여 첨단과학 기술산업에 적용할 수 있는 전문 인재 양성을 목적으로 하는 학과이다.","논리적인 사고와 수리력이 있으며, 과학에 대한 호기심, 창의적인 사고를 갖춘 학생;궁금증을 풀기 위한 적극적인 추진력을 갖춘 학생;실험을 위한 꾸준한 인내력과 꼼꼼한 관찰력을 갖춘 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ,기하;물리학Ⅱ;화학Ⅱ
47,47,"식물을 건강하게 생육시키는 방법을 연구하는 학문으로, 미래 농업 발전을 위한 기술혁신에 공헌할 수 있는 혁신적 인재 양성을 목적으로 하는 학과이다.","농산물에 대해 배우기 위해 식물에 대한 흥미와 애정이 있는 학생;생명 현상을 정확하게 볼 수 있는 관찰력이나 분석력을 갖추고 있는 학생;농촌 문제나 식량 문제, 가축, 농업 기술 등에 관한 관심이 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;생활과 윤리;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ,화학Ⅱ;생명과학Ⅱ
33,33,"항공기 승무원으로서 전문 서비스에 필요한 영어, 일본어, 중국어 등의 외국어 교육 및 서비스 이론과 현장 실습 교육으로 지성과 전문성을 겸비한 승무원 양성을 목적으로 하는 학과이다.",능숙한 어휘력으로 국제적 감각을 갖추고자 하는 학생;영어는 물론 제2외국어에 관심이 많은 학생;기내 및 공항운송 서비스에 필요한 보안 및 안전 전문 지식을 갖추기를 희망하는 학생,영어 회화;영어Ⅰ;생활과 윤리;한국지리;세계지리;세계사;사회·문화;제2외국어Ⅰ,영어권 문화;진로 영어;사회문제 탐구;여행지리;제2외국어Ⅱ
63,63,"융합학과는 다양한 학과가 서로 융합되어 구성된다는 특징을 가지고 있으며, 창의 융합형 인재 양성을 목표로 하는 학과이다.",다양한 전공의 진로를 설계하고 있는 학생;다양한 전공을 ICT 계열 및 AI 관련 분야와 융합하고자 하는 학생;하나의 전공 분야의 틀에 고정되기보다는 다양한 학문적 경험을 하고자 하는 학생;새로운 분야를 개척하고자 하는 도전 의식이 있는 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;정보,수학과제 탐구;생활과 과학;인공지능 기초;사회문제 탐구;융합과학
11,11,"다양한 정보들 중에서 가치 있는 정보를 선별하고 이를 보존하며, 제공하는 방법과 기술을 연구한다. 정보를 이용 자들이 편리하게 검색하고 열람할 수 있도록 하는 체계적 방법 구축을 목표로, 빅데이터의 시대적 환경 속에서 정보 관리 능력을 갖춘 전문 인재 양성을 목적으로 하는 학과이다.",독서를 습관화하고 정보통신기술을 이해하려는 자세를 지닌 학생;도서관 활동에 관심을 가지고 일상 생활 속에서 정보검색의 불편한 점 등에 대해 고민하는 학생 ;다양한 방면에 호기심이 많고 적극적 의사소통능력과 의견조율능력을 지닌 학생,언어와 매체;확률과 통계;윤리와 사상;정치와 법;사회·문화;정보,인공지능 수학;인공지능 기초
5,5,"독일어에 대한 체계적인 학습 훈련과 언어, 문화 및 문학에 관한 깊이 있는 이해를 통해, 독일 및 해당 언어권 국가와 관련된 사회 여러 분야에서 요구되는 새로운 인재의 양성을 목표로 하는 학과이다.","독일어권 국가의 어학, 문학, 문화에 관심이 있고 심화된 지식과 역량을 갖고자 하는 학생;새로운 세계를 탐구해 나가려는 호기심과 문학적 감수성과 상상력을 지닌 학생;언어의 과학적 구조에 관심이 있는 학생",영어Ⅰ;영어 독해와 작문;영어Ⅱ;윤리와 사상;세계지리;세계사;독일어Ⅰ,영어권 문화;영미 문학 읽기;독일어Ⅱ
96,96,독일어 교과 교육 관련 학문의 창의적 연구와 교육 현장에서 언어 계열 과목 교육자로서의 전문적인 소양을 갖춘 유능하고 진취적인 교사를 양성하는 것을 목적으로 인격과 전문성을 겸비한 교육 전문 인력 양성을 목적으로 하는 학과이다.,독일어에 대한 지식과 열정을 기본으로 인간과 사물을 사랑하고 존중하는 따뜻한 마음을 가진 학생;변화에 대해 능동적으로 대처하는 자세를 갖춘 학생;말과 글에 대한 긍지와 애정을 가진 진취적인 태도를 갖춘 학생;미래 교육과 연구를 담당할 수 있도록 전문 능력을 갖추려는 자세를 갖춘 학생,확률과 통계;영어 회화;영어Ⅰ;생활과 윤리;윤리와 사상;세계사;사회·문화;정치와 법;독일어Ⅰ;교육학;심리학,영어권 문화;영미 문학 읽기;독일어Ⅱ
48,48,"동물자원의 가공, 생산에서 이용에 이르기까지의 모든 과정을 연구하는 학문으로, 이론과 실험을 바탕으로 이용할 수 있는 자원의 종류를 확대할 수 있는 동물자원 전문가 양성을 목적으로 하는 학과이다.","동물에 대한 관심이 많으며 특히 가축에 대한 관심이 많은 학생;생명과학 연구에 흥미가 있으며, 축산 분야 전문가로 성장하고 싶은 학생;농촌 문제나 식량 문제, 가축 등에 관한 관심이 필요하며 첨단 기술이 합쳐지면서 공학적인 지식이 필요",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;생활과 윤리;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ,화학Ⅱ;생명과학Ⅱ
